nome_modelo,versao,parametro_precisao,id_pergunta,texto_resposta,tempo_inferencia_ms,data_geracao
phi-3-mini,microsoft/Phi-3-mini-4k-instruct-gguf,gguf-q4,1108,A,22988.4,2026-04-29T23:58:38Z
qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct-GGUF,gguf-q4_k_m,1108,A,4826.8,2026-04-29T23:40:53Z
tinyllama-1.1b,TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,gguf-q4_k_m,1108,A,4568.8,2026-04-29T23:32:37Z
phi-3-mini,microsoft/Phi-3-mini-4k-instruct-gguf,gguf-q4,1109,B,27008.1,2026-04-29T23:59:05Z
qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct-GGUF,gguf-q4_k_m,1109,A,1426.0,2026-04-29T23:40:54Z
tinyllama-1.1b,TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,gguf-q4_k_m,1109,A,1157.5,2026-04-29T23:32:38Z
phi-3-mini,microsoft/Phi-3-mini-4k-instruct-gguf,gguf-q4,1110,A,45662.8,2026-04-29T23:59:51Z
qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct-GGUF,gguf-q4_k_m,1110,B,4785.3,2026-04-29T23:40:59Z
tinyllama-1.1b,TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,gguf-q4_k_m,1110,A,3992.2,2026-04-29T23:32:42Z
phi-3-mini,microsoft/Phi-3-mini-4k-instruct-gguf,gguf-q4,1111,D,26563.0,2026-04-30T00:00:18Z
qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct-GGUF,gguf-q4_k_m,1111,B,2448.4,2026-04-29T23:41:01Z
tinyllama-1.1b,TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,gguf-q4_k_m,1111,A,1940.7,2026-04-29T23:32:44Z
phi-3-mini,microsoft/Phi-3-mini-4k-instruct-gguf,gguf-q4,1112,B,25690.1,2026-04-30T00:00:43Z
qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct-GGUF,gguf-q4_k_m,1112,B,3218.3,2026-04-29T23:41:04Z
tinyllama-1.1b,TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,gguf-q4_k_m,1112,A,2170.0,2026-04-29T23:32:46Z
phi-3-mini,microsoft/Phi-3-mini-4k-instruct-gguf,gguf-q4,1113,B,29353.7,2026-04-30T00:01:13Z
