nome_modelo,versao,parametro_precisao,id_pergunta,texto_resposta,tempo_inferencia_ms,data_geracao
Llama3.1:8b,8B,INT4,1354,D,194.868464,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1355,B,151.720927,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1356,B,197.490001,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1357,C,196.303367,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1358,B,191.786106,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1359,B,172.408876,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1360,D,212.679671,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1361,C,194.691248,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1362,A,155.903137,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1363,A,196.65339,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1364,D,196.445677,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1365,D,197.910368,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1366,A,200.174386,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1367,D,196.607048,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1368,B,197.403096,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1369,B,201.427985,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1370,A,199.948265,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1371,D,201.717117,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1372,A,202.578232,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1373,D,195.555467,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1374,A,194.622067,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1375,D,196.180679,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1376,C,200.152597,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1377,D,203.130369,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1378,B,202.185172,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1379,B,200.947541,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1380,D,201.935838,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1381,D,201.307389,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1382,D,198.921262,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1383,C,230.796361,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1384,D,206.548596,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1385,C,196.399979,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1386,C,198.756594,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1387,D,194.516944,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1388,D,197.350497,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1389,B,182.32516,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1390,D,206.634008,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1391,D,208.320569,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1392,B,226.144881,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1393,B,208.119284,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1394,B,207.744282,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1395,A,208.192415,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1396,A,205.097666,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1397,C,209.26926,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1398,C,208.099327,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1399,D,196.553368,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1400,A,153.924906,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1401,C,413.308277,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1402,A,210.528487,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1403,D,237.567381,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1404,B,208.114079,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1405,B,215.065081,2026-04-28T03:16:27Z
Llama3.1:8b,8B,INT4,1406,A,280.542444,2026-04-28T03:16:27Z
