nome_modelo,versao,parametro_precisao,id_pergunta,texto_resposta,tempo_inferencia_ms,data_geracao
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,95,"A) Não, as parcelas remanescentes da pena de prestação pecuniária não poderão ser cobradas de Janaína, pois o princípio da não persecutio criminal impede a cobrança de pena após a morte do réu.

B) Sim, Janaína pode utilizar o processo de Habeas Corpus Criminal para comprovar a inocência de Jorge, uma vez que o objetivo é garantir a liberdade do preso e, em casos de morte, para anular a condenação.",9142,2026-04-05T12:00:08Z
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,96,"Vossa Excelência, Juiz(a) da 503ª Vara do Trabalho do Distrito Federal.

Maria Serra, brasileira, solteira, aposentada pelo INSS, residente e domiciliada na Rua dos Aposentados, 123, Cidade dos Aposentados, DF, inscrita no CPF sob o nº 123.456.789-00, advogada: Maria Serra Advogada, inscrita na OAB/DF sob o nº 12345.

Trata-se de reclamação trabalhista em que, por ofício, foi instaurado o incidente de desconsideração da personalidade jurídica (IDPJ), cuja decisão foi proferida em 10/02/2023, julgando procedente o IDPJ e determinando a responsabilidade solidária de Maria Serra.

A presente peça tem por objeto a intimação da decisão que julgou procedente o IDPJ, com a finalidade de apresentar alegações finais e pedir a reforma da decisão, a fim de que seja reconhecida a inexistência de responsabilidade solidária de Maria Serra.

A alegação de que Maria Serra deixou a sociedade em março de 2015, conforme ato averbado perante a Junta Comercial, e que Jeferson Peres trabalhou na sociedade empresária de janeiro de 2018 a dezembro de 2018, demonstra que Maria Serra não era sócia no momento em que Jeferson Peres prestou seus serviços, sendo, portanto, inexistente a responsabilidade solidária dela.

Além disso, Maria Serra é aposentada pelo INSS, com aposentadoria no valor de R$ 1.500,00, que é sua única fonte de renda, tendo sido retidos 100% de sua aposentadoria, totalizando R$ 3.000,00. A tutela de urgência de natureza cautelar deve ser revogada, pois a situação de Maria Serra é de extrema necessidade, não havendo mais necessidade de tutela.

Diante do exposto, requer-se:
I - A reforma da decisão que julgou procedente o IDPJ;
II - A revogação da tutela de urgência de natureza cautelar;
III - A imediata restituição da aposentadoria de Maria Serra.

Local, ...
Data, ...
Advogado(a): Maria Serra Advogada
OAB/UF: DF",39349,2026-04-05T12:00:18Z
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,97,"A) Sim, ambas teriam direito a receber o repouso semanal remunerado à parte, em título próprio, conforme estabelece o artigo 7º, inciso VI, da CLT. Este direito é inerente a todos os trabalhadores, independentemente do regime de remuneração adotado.

B) Em caso de falta de recolhimento do FGTS, poderia ser ajuizada ação de obrigação de fazer, requerendo a CEF o depósito dos valores devidos. Além disso, poderia ser pleiteada indenização por danos morais, uma vez que o não recolhimento do FGTS configura descumprimento de obrigação de natureza alimentar, imprescindível à subsistência do trabalhador.",11485,2026-04-05T12:00:57Z
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,98,"A) Sim, o valor do plano de saúde deve integrar a base de cálculo para o pagamento do 13º salário, das férias e do FGTS, conforme estabelecido no art. 492 da CLT e no Súmula 331 do TST.

B) Os advogados dos empregados podem adotar medidas urgentes como ação de obrigação de fazer, requerendo a reintegração do plano de saúde, ou ação de indenização por danos morais e materiais, caso o cancelamento seja considerado ilegal. O TST tem entendido que a suspensão do plano de saúde sem justa causa configura descumprimento de cláusula do contrato de trabalho, justificando a medida judicial.",11227,2026-04-05T12:01:09Z
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,99,"A) Propor ação de nulidade da sentença sine die, com base na possibilidade de existência de interesse de agir, já que o processo está em fase de conclusão para sentença. Justificar que o advogado tem conhecimento de fatos que podem configurar interesse de agir, como a existência de amizade íntima entre o juiz e o réu, o que pode comprometer a isenção do magistrado, violando o princípio da imparcialidade.

B)  Propor ação de reforma do acórdão, com base no artigo 994 do Código de Processo Civil, uma vez que o processo já tenha transitado em julgado. Justificar que, mesmo após o trânsito em julgado, novas provas podem ser apresentadas que comprovem a existência de amizade íntima entre o juiz e o réu, o que pode configurar nulidade do processo, violando o princípio da imparcialidade.",14502,2026-04-05T12:01:21Z
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,100,"A) Advogaria a tese de que o banco não deve ser responsabilizado subsidiariamente, pois Bernardo continua trabalhando na mesma agência, agora com a nova prestadora de serviços. O artigo 433, inciso IV, da CLT estabelece que a responsabilidade do tomador de serviços é limitada à verificação da existência de vínculo empregatício. Como Bernardo não possui mais vínculo empregatício com o ex-empregador, a responsabilidade do banco se esgota na verificação da existência do vínculo, não se estendendo à indenização por dispensa sem justa causa.

B) Caso o juiz decidisse atender ao requerimento de Bernardo, adotaria a providência de recorrer da decisão, alegando que a responsabilidade do banco é limitada e que Bernardo não possui mais vínculo empregatício com o ex-empregador. O TST tem entendido que a responsabilidade subsidiária do tomador de serviços se limita à verificação da existência do vínculo empregatício, não se estendendo à indenização por dispensa sem justa causa.",16486,2026-04-05T12:01:36Z
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,101,"Vossa Excelência, Juiz da Vara Única Federal da Subseção Judiciária do Município Alfa, Seção Judiciária do Estado Beta.

José, aposentado pelo Regime Geral de Previdência Social (RGPS) desde 2020, vem, por seu advogado, apresentar Recurso de Apelação contra a sentença proferida em ação ordinária própria, que negou o pedido de isenção do Imposto de Renda sobre proventos de aposentadoria.

A presente peça é tempestiva, tendo em vista que se passaram sete dias úteis da intimação da sentença.

Fundamenta-se o presente recurso nos seguintes fundamentos:

I. Interesse de agir: A sentença negou o interesse de agir, alegando que só poderia ser ajuizada a ação após esgotar os pedidos na via administrativa. No entanto, a legislação não exige a esgotamento da via administrativa para a ação ordinária, especialmente quando o pedido é de natureza tributária, conforme dispõe o art. 105, I, da Constituição Federal.

II. Fato superveniente: A sentença considerou a doença como fato superveniente, o que lhe retiraria o direito à isenção tributária. No entanto, a jurisprudência do Superior Tribunal de Justiça (STJ) é firme no sentido de que a superveniência da doença não impede a concessão da isenção, desde que a doença tenha sido diagnosticada durante o período da aposentadoria, conforme firmado no julgamento do REsp 1.855.884/SP, relator Ministro Fábio Campello.

III. Documentação: A sentença negou a isenção por falta de laudo oficial de serviço público, argumento que não foi suficiente para rejeitar a pretensão. A legislação permite a apresentação de laudos médicos de qualquer natureza, desde que comprovem a doença, conforme dispõe o art. 23, § 1º, da Lei 9.250/1996.

IV. Precedentes: A decisão recorrida diverge da jurisprudência firmada pelo STJ, que já decidiu que a isenção do Imposto de Renda sobre proventos de aposentadoria deve ser concedida a aposentados que desenvolvam neoplasia maligna, independentemente de acometer a doença antes ou após a aposentadoria, desde que a doença tenha sido diagnosticada durante o período da aposentadoria.

V. Restituição: Além da isenção, José requer a restituição do imposto pago desde a data do diagnóstico da doença, conforme previsto no art. 146, I, da Constituição Federal.

Assim, requer-se que o presente recurso seja provido, para que seja reconhecido o direito de José à isenção do Imposto de Renda sobre proventos de aposentadoria e, se necessário, à restituição do imposto pago.

Local, ...
Data, ...
Advogado(a): José Carlos Pereira
OAB/UF: SP",43901,2026-04-05T12:01:53Z
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,102,"A) Não é correta a retenção de IRRF sobre férias vencidas e não gozadas, férias proporcionais e respectivos acréscimos de 1/3. Estas verbas são consideradas salário e estão isentas de IRRF, conforme dispõe o art. 22 da Lei 7.661/1988.

B) Não incide IRRF sobre os valores do acordo extrajudicial referentes aos danos morais. Estes valores são considerados indenizações e estão isentos de IRRF, conforme dispõe o art. 22, inciso III, da Lei 7.661/1988.",11327,2026-04-05T12:02:37Z
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,103,"A) Sim, a revogação da isenção de IPVA pode produzir efeitos imediatos conforme prevê a lei ordinária, pois a Constituição Federal prevê que as leis ordinárias estaduais podem estabelecer efeitos imediatos, desde que não contrariem disposições constitucionais positiveiras.

B)  Sim, é válida a fixação de alíquotas de ICMS nas operações com combustíveis em patamar superior à alíquota das operações em geral do Estado Alfa, pois a Constituição Federal autoriza estados a estabelecer alíquotas diferenciadas para determinados tipos de operações, conforme previsto no art. 150, II, da Constituição Federal.",10834,2026-04-05T12:02:49Z
qwen2.5-7b-instruct,bartowski/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,Q4_K_M,104,"A) Sim, o Município Beta poderia conceder tal redução da base de cálculo do ISS incidente sobre tais serviços, pois a competência tributária municipal permite a fixação de alíquotas e bases de cálculo, desde que não contrariem leis superiores.

B) Sim, tratando-se de lei em matéria tributária, a lei de redução de base de cálculo poderia produzir seus efeitos imediatamente, pois a Constituição Federal prevê que as leis tributárias produzam efeitos imediatos, salvo disposição em contrário.",9541,2026-04-05T12:03:00Z
