numero_global,question_id,modelo,question,A,B,C,D,gabarito,resposta_modelo,acertou
1231,2014-14_55,ChatGPT,"O direito processual brasileiro, em sua origem, possuía um caráter eminentemente individualista, estando filiado às tradições dos ordenamentos de linha romano-germânica. Posteriormente, fruto da evolução social e das transformações provocadas pelas descobertas científicas e tecnológicas, observou-se uma massificação das relações interpessoais, que contribuiu, de forma determinante, para o desenvolvimento da tutela dos direitos e interesses coletivos.
Sobre o tema, assinale a opção correta.","['Nas ações coletivas intentadas para a defesa de interesses ou direitos individuais homogêneos, a sentença sempre produzirá efeitos inter partes, atingindo apenas os sujeitos que integram aquela determinada relação processual.'
 'A Defensoria Pública possui legitimidade ativa para a propositura de Ação Civil Pública.'
 'Apesar de a doutrina mencionar a existência do microssistema da tutela coletiva, a Lei n. 4.717/65, por trazer regras e procedimentos de natureza específica, prevê expressamente que jamais será aplicado subsidiariamente o Código de Processo Civil à Ação Popular.'
 'Os órgãos públicos legitimados, no âmbito das Ações Civis Públicas, poderão celebrar, com os interessados, Termo de Ajustamento de Conduta (TAC) às exigências legais, documento que possui eficácia de título executivo judicial.']",['A' 'B' 'C' 'D'],,,B,B,True
1231,2014-14_55,Gemini,"O direito processual brasileiro, em sua origem, possuía um caráter eminentemente individualista, estando filiado às tradições dos ordenamentos de linha romano-germânica. Posteriormente, fruto da evolução social e das transformações provocadas pelas descobertas científicas e tecnológicas, observou-se uma massificação das relações interpessoais, que contribuiu, de forma determinante, para o desenvolvimento da tutela dos direitos e interesses coletivos.
Sobre o tema, assinale a opção correta.","['Nas ações coletivas intentadas para a defesa de interesses ou direitos individuais homogêneos, a sentença sempre produzirá efeitos inter partes, atingindo apenas os sujeitos que integram aquela determinada relação processual.'
 'A Defensoria Pública possui legitimidade ativa para a propositura de Ação Civil Pública.'
 'Apesar de a doutrina mencionar a existência do microssistema da tutela coletiva, a Lei n. 4.717/65, por trazer regras e procedimentos de natureza específica, prevê expressamente que jamais será aplicado subsidiariamente o Código de Processo Civil à Ação Popular.'
 'Os órgãos públicos legitimados, no âmbito das Ações Civis Públicas, poderão celebrar, com os interessados, Termo de Ajustamento de Conduta (TAC) às exigências legais, documento que possui eficácia de título executivo judicial.']",['A' 'B' 'C' 'D'],,,B,B,True
1231,2014-14_55,Grok,"O direito processual brasileiro, em sua origem, possuía um caráter eminentemente individualista, estando filiado às tradições dos ordenamentos de linha romano-germânica. Posteriormente, fruto da evolução social e das transformações provocadas pelas descobertas científicas e tecnológicas, observou-se uma massificação das relações interpessoais, que contribuiu, de forma determinante, para o desenvolvimento da tutela dos direitos e interesses coletivos.
Sobre o tema, assinale a opção correta.","['Nas ações coletivas intentadas para a defesa de interesses ou direitos individuais homogêneos, a sentença sempre produzirá efeitos inter partes, atingindo apenas os sujeitos que integram aquela determinada relação processual.'
 'A Defensoria Pública possui legitimidade ativa para a propositura de Ação Civil Pública.'
 'Apesar de a doutrina mencionar a existência do microssistema da tutela coletiva, a Lei n. 4.717/65, por trazer regras e procedimentos de natureza específica, prevê expressamente que jamais será aplicado subsidiariamente o Código de Processo Civil à Ação Popular.'
 'Os órgãos públicos legitimados, no âmbito das Ações Civis Públicas, poderão celebrar, com os interessados, Termo de Ajustamento de Conduta (TAC) às exigências legais, documento que possui eficácia de título executivo judicial.']",['A' 'B' 'C' 'D'],,,B,B,True
1232,2014-14_56,ChatGPT,"Juliana e Marcos são casados sob o regime da comunhão parcial de bens. Entretanto, tornada impossível a vida em comum e diante da existência de filhos menores do casal, ingressam com ação de divórcio perante a Vara de Família e Sucessões competente para a apreciação do litígio. No curso da demanda judicial, um dos cônjuges vem a falecer.
Considerando a hipótese narrada, assinale a opção correta.","['O processo será extinto sem resolução do mérito, na forma do Art. 267, inciso IX, do Código de Processo Civil, pois, tratando-se de direito personalíssimo, a ação é intransmissível.'
 'O processo deverá ser suspenso pelo prazo de 30 (trinta) dias, de modo a criar oportunidade à sucessão processual do cônjuge falecido por seus herdeiros legítimos.'
 'Diante do falecimento de um dos cônjuges no curso da ação de divórcio, deverá o juiz efetuar o julgamento da lide no estado em que se encontra, acolhendo a pretensão autoral.'
 'Com o falecimento de uma das partes na ação de divórcio, resolve-se o processo sem resolução do mérito, operando-se o fenômeno processual da confusão entre o autor e réu, conforme Art. 267, X, do CPC.']",['A' 'B' 'C' 'D'],,,A,A,True
1232,2014-14_56,Gemini,"Juliana e Marcos são casados sob o regime da comunhão parcial de bens. Entretanto, tornada impossível a vida em comum e diante da existência de filhos menores do casal, ingressam com ação de divórcio perante a Vara de Família e Sucessões competente para a apreciação do litígio. No curso da demanda judicial, um dos cônjuges vem a falecer.
Considerando a hipótese narrada, assinale a opção correta.","['O processo será extinto sem resolução do mérito, na forma do Art. 267, inciso IX, do Código de Processo Civil, pois, tratando-se de direito personalíssimo, a ação é intransmissível.'
 'O processo deverá ser suspenso pelo prazo de 30 (trinta) dias, de modo a criar oportunidade à sucessão processual do cônjuge falecido por seus herdeiros legítimos.'
 'Diante do falecimento de um dos cônjuges no curso da ação de divórcio, deverá o juiz efetuar o julgamento da lide no estado em que se encontra, acolhendo a pretensão autoral.'
 'Com o falecimento de uma das partes na ação de divórcio, resolve-se o processo sem resolução do mérito, operando-se o fenômeno processual da confusão entre o autor e réu, conforme Art. 267, X, do CPC.']",['A' 'B' 'C' 'D'],,,A,A,True
1232,2014-14_56,Grok,"Juliana e Marcos são casados sob o regime da comunhão parcial de bens. Entretanto, tornada impossível a vida em comum e diante da existência de filhos menores do casal, ingressam com ação de divórcio perante a Vara de Família e Sucessões competente para a apreciação do litígio. No curso da demanda judicial, um dos cônjuges vem a falecer.
Considerando a hipótese narrada, assinale a opção correta.","['O processo será extinto sem resolução do mérito, na forma do Art. 267, inciso IX, do Código de Processo Civil, pois, tratando-se de direito personalíssimo, a ação é intransmissível.'
 'O processo deverá ser suspenso pelo prazo de 30 (trinta) dias, de modo a criar oportunidade à sucessão processual do cônjuge falecido por seus herdeiros legítimos.'
 'Diante do falecimento de um dos cônjuges no curso da ação de divórcio, deverá o juiz efetuar o julgamento da lide no estado em que se encontra, acolhendo a pretensão autoral.'
 'Com o falecimento de uma das partes na ação de divórcio, resolve-se o processo sem resolução do mérito, operando-se o fenômeno processual da confusão entre o autor e réu, conforme Art. 267, X, do CPC.']",['A' 'B' 'C' 'D'],,,A,C,False
1233,2014-14_57,ChatGPT,"Lino ajuizou ação de cobrança pelo rito ordinário em face de Paulo, pleiteando o pagamento de R$ 100.000,00 (cem mil reais). Em contestação, Paulo alegou pagamento integral da dívida, juntando aos autos diversos recibos. Em resposta à peça de defesa, Lino arguiu a falsidade dos recibos apresentados por Paulo.
Considerando as regras sobre a arguição de falsidade previstas no Código de Processo Civil, assinale a opção correta.","['Lino poderia arguir o incidente de falsidade em qualquer tempo, bem como o grau de jurisdição, por não haver preclusão.'
 'No incidente de falsidade instaurado, Paulo será dispensado de intimação para se manifestar, uma vez que o procedimento não está submetido ao contraditório.'
 'Será dispensado o exame pericial dos recibos juntados aos autos se Paulo concordar em retirá-los e Lino não se opuser ao desentranhamento.'
 'O incidente de falsidade suscitado por Lino será processado em apenso aos autos principais, uma vez que o Código de Processo Civil expressamente determina aplicação subsidiária do procedimento estabelecido às exceções de impedimento e suspeição.']",['A' 'B' 'C' 'D'],,,C,C,True
1233,2014-14_57,Gemini,"Lino ajuizou ação de cobrança pelo rito ordinário em face de Paulo, pleiteando o pagamento de R$ 100.000,00 (cem mil reais). Em contestação, Paulo alegou pagamento integral da dívida, juntando aos autos diversos recibos. Em resposta à peça de defesa, Lino arguiu a falsidade dos recibos apresentados por Paulo.
Considerando as regras sobre a arguição de falsidade previstas no Código de Processo Civil, assinale a opção correta.","['Lino poderia arguir o incidente de falsidade em qualquer tempo, bem como o grau de jurisdição, por não haver preclusão.'
 'No incidente de falsidade instaurado, Paulo será dispensado de intimação para se manifestar, uma vez que o procedimento não está submetido ao contraditório.'
 'Será dispensado o exame pericial dos recibos juntados aos autos se Paulo concordar em retirá-los e Lino não se opuser ao desentranhamento.'
 'O incidente de falsidade suscitado por Lino será processado em apenso aos autos principais, uma vez que o Código de Processo Civil expressamente determina aplicação subsidiária do procedimento estabelecido às exceções de impedimento e suspeição.']",['A' 'B' 'C' 'D'],,,C,C,True
1233,2014-14_57,Grok,"Lino ajuizou ação de cobrança pelo rito ordinário em face de Paulo, pleiteando o pagamento de R$ 100.000,00 (cem mil reais). Em contestação, Paulo alegou pagamento integral da dívida, juntando aos autos diversos recibos. Em resposta à peça de defesa, Lino arguiu a falsidade dos recibos apresentados por Paulo.
Considerando as regras sobre a arguição de falsidade previstas no Código de Processo Civil, assinale a opção correta.","['Lino poderia arguir o incidente de falsidade em qualquer tempo, bem como o grau de jurisdição, por não haver preclusão.'
 'No incidente de falsidade instaurado, Paulo será dispensado de intimação para se manifestar, uma vez que o procedimento não está submetido ao contraditório.'
 'Será dispensado o exame pericial dos recibos juntados aos autos se Paulo concordar em retirá-los e Lino não se opuser ao desentranhamento.'
 'O incidente de falsidade suscitado por Lino será processado em apenso aos autos principais, uma vez que o Código de Processo Civil expressamente determina aplicação subsidiária do procedimento estabelecido às exceções de impedimento e suspeição.']",['A' 'B' 'C' 'D'],,,C,C,True
1234,2014-14_58,ChatGPT,"Os irmãos Rafael e Daniela são proprietários de um imóvel na Av. São Sebastião, n. 20. Eles realizaram um contrato de locação com Joana, estudante, por prazo indeterminado. Após três anos de vigência de contrato, devido aos grandes eventos internacionais na cidade, os irmãos propuseram uma ação revisional de aluguel, tendo em vista a valorização constatada na área em que fica o imóvel.
A partir da hipótese sugerida, assinale a opção correta.","['Trata-se de litisconsórcio ativo facultativo unitário, uma vez que há solidariedade entre os irmãos, o que faz com que um deles, sozinho, possa ajuizar a ação, tendo a decisão efeito para ambos.'
 'Trata-se de litisconsórcio passivo multitudinário, pois a ação revisional, se procedente, alterará o valor da locação para todo e qualquer candidato à locação.'
 'Trata-se de litisconsórcio ativo facultativo simples, pois no lugar de uma única ação, cada irmão pode entrar com uma ação revisional diferente para atualizar o valor do imóvel, e as duas correrão normalmente, em separado.'
 'Trata-se de litisconsórcio ativo necessário unitário, uma vez que a lei assim o exige e a decisão do juiz será a mesma para os dois irmãos.']",['A' 'B' 'C' 'D'],,,A,D,False
